year,real_disposable_personal_income_per_capita,personal_saving_rate,household_debt_service_ratio,student_loans_owned_securitized,food_at_home_cpi,gasoline_cpi,building_permits,rental_vacancy_rate,mortgage_30yr_rate,real_disposable_personal_income_per_capita_index,food_at_home_cpi_index,gasoline_cpi_index,building_permits_index
1988,28068.583333333332,8.4,,,116.55833333333334,80.77499999999999,1452.0833333333333,7.7,10.341730769230768,209.67045143298222,370.41843220338984,305.8693594193752,144.72591362126244
1989,28613.833333333332,8.275,,,124.23333333333333,88.40833333333335,1350.3333333333333,7.4,10.319423076923076,213.7434326834491,394.8093220338983,334.77437677500797,134.5847176079734
1990,28878.833333333332,8.358333333333333,,,132.33333333333334,100.85833333333333,1123.6666666666667,7.225,10.129423076923077,215.7229650656109,420.5508474576272,381.91858630482807,111.99335548172758
1991,28738.416666666668,8.916666666666666,,,135.79999999999998,99.26666666666667,945.6666666666666,7.425,9.246538461538462,214.6740619008491,431.56779661016935,375.8914484064374,94.25249169435214
1992,29487.833333333332,9.383333333333333,,,136.79999999999998,98.96666666666665,1098.0,7.375,8.390188679245282,220.27215457782427,434.74576271186436,374.755443357526,109.43521594684384
1993,29579.166666666668,7.833333333333333,,,140.04999999999998,97.825,1207.25,7.325,7.314615384615385,220.9544085057643,445.0741525423728,370.4323130325024,120.32392026578074
1994,30017.75,6.8,,,144.08333333333334,98.2,1366.9166666666667,7.375,8.38076923076923,224.23059684768805,457.8919491525424,371.85231934364157,136.2375415282392
1995,30643.583333333332,6.8500000000000005,,,148.75,99.79166666666667,1335.8333333333333,7.625,7.934615384615385,228.90553024078085,472.7224576271186,377.87945724203223,133.13953488372093
1996,31229.75,6.341666666666666,,,154.26666666666668,105.85000000000001,1419.0833333333333,7.85,7.806153846153847,233.2841562710092,490.25423728813564,400.82044809088046,141.43687707641195
1997,31959.0,6.041666666666667,,,158.13333333333333,105.8,1442.25,7.75,7.598846153846154,238.7316052887129,502.5423728813559,400.63111391606185,143.74584717607974
1998,33451.75,6.4750000000000005,,,161.125,91.65833333333335,1619.4166666666667,7.925,6.942641509433962,249.88234854709793,512.0497881355932,347.08109813821403,161.40365448504983
1999,34143.416666666664,4.608333333333333,,,164.23333333333332,100.13333333333333,1663.9166666666667,8.1,7.4399999999999995,255.04905256343218,521.9279661016948,379.17324076995897,165.8388704318937
