year,cpi_all,real_median_family_income,avg_hourly_earnings_nominal,median_home_price_nominal,shelter_cpi,rent_cpi,medical_cpi,education_childcare_cpi,fertility_rate,female_labor_force_participation,young_adults_living_with_parents_pct,median_age_first_marriage,median_age_first_marriage_men,median_age_first_marriage_women,avg_hourly_earnings_real_2024,median_home_price_real_2024,home_price_to_family_income,home_price_work_years,income_index,home_price_index,rent_index,medical_index,education_childcare_index,wage_index,rent_to_wage_index,medical_to_wage_index,education_childcare_to_wage_index
1971,40.483333333333334,66680.0,3.626666666666667,25225.0,37.016666666666666,48.65,36.13333333333333,,2.266,43.35833333333333,,22.0,23.1,20.9,28.102396486894474,195464.0490942775,2.931374461521858,3.343953266402715,136.75143560295325,105.74795094820321,125.57539255753925,162.3362036690378,,109.68615315323365,83.89592126427048,102.70471624773256,
1972,41.80833333333333,69730.0,3.9,27525.0,38.666666666666664,50.324999999999996,37.324999999999996,,2.01,43.88333333333333,,22.1,23.3,20.9,29.2626553717361,206526.81771975284,2.961807223859929,3.393121301775148,143.00656275635768,111.73301633172974,129.89890298989027,167.6900037439161,,114.21474678401128,80.70209703947367,98.65638766519822,
1973,44.425000000000004,71240.0,4.138333333333333,32600.0,40.43333333333333,52.525,38.75833333333333,,1.879,44.73333333333333,,22.1,23.2,21.0,29.222005171012313,230198.31701369348,3.2313070889064215,3.7872920474611984,146.1033634126333,124.53952759456917,135.57754355775435,174.1295394983152,,114.05608543481362,79.37911184210526,96.54496390432918,
1974,49.31666666666666,69450.0,4.4375,36050.0,44.39166666666667,55.15,42.36666666666667,,1.835,45.666666666666664,,22.1,23.1,21.1,28.226474104427176,229310.28540047313,3.301803965449577,3.9057421451787646,142.4323215750615,124.05909385797966,142.35319423531942,190.34069636840132,,110.17043913097677,77.7271590066716,98.41831606378358,
1975,53.824999999999996,68170.0,4.738333333333333,39275.0,48.76666666666667,58.0,47.49166666666667,,1.774,46.35,,22.3,23.5,21.1,27.615540728698974,228899.12672240287,3.357769205257487,3.9849901241916714,139.80721903199344,123.83665301567657,149.7096149709615,213.3657806065144,,107.78591182392678,76.55402465890367,103.3193824851517,
1976,56.93333333333334,70310.0,5.059166666666667,44225.0,51.449999999999996,61.14166666666667,52.0,,1.738,47.300000000000004,,22.55,23.8,21.3,27.875608457747855,243676.2544642857,3.465741067618912,4.202672224826729,144.1960623461854,131.8312227938267,157.81888578188858,233.62036690378133,,108.8009793030285,75.58296587963484,105.95326811874462,
1977,60.61666666666667,70680.0,5.4375,48900.0,54.916666666666664,64.81666666666666,56.975,,1.79,48.43333333333334,,22.8,24.0,21.6,28.13968294610943,253063.0797360462,3.5804057687612647,4.323607427055703,144.95488105004102,136.90958652872868,167.30479673047967,255.97154623736427,,109.83168552012275,74.55093012704174,108.0127601397539,
1978,65.24166666666666,72900.0,5.8758333333333335,55850.0,60.458333333333336,69.27499999999999,61.75,59.78333333333333,1.76,49.958333333333336,,23.0,24.2,21.8,28.252468682675527,268540.69651296467,3.6836858232231093,4.569728243675201,149.50779327317474,145.28312768529824,178.81264788126475,277.4241856982403,100.0,110.27189828205776,73.73483441131901,108.33218270661142,100.0
1979,72.58333333333333,73940.0,6.339166666666666,62750.0,68.86666666666666,74.34166666666667,67.47500000000001,64.675,1.808,50.94166666666666,,23.25,24.4,22.1,27.397266978568695,271199.4483352469,3.667831327228116,4.7590276162643725,151.64068908941755,146.72153827071762,191.89072918907294,303.144889554474,108.18232506272652,106.93396996205439,73.34419842700282,109.72377053594853,100.27521677629612
1980,82.38333333333334,71470.0,6.845833333333334,64750.0,80.95833333333333,80.91666666666667,74.85833333333333,71.19166666666666,1.8395,51.475,26.221972754027732,23.35,24.7,22.0,26.0674735905995,246554.19330366174,3.4497578467001784,4.547263448663326,146.57506152584085,133.38821568652725,208.86212088621207,336.3159865219019,119.0827989963758,101.74366808573691,73.92261227856616,112.72074023825544,102.20971585191062
